da_id,population_2016,population_0_to_14,percent_children
35201759,714,95,0.1331
35204269,6071,1505,0.2479
35200716,343,50,0.1458
35440194,430,70,0.1628
35204357,550,110,0.2
35370238,553,100,0.1808
35300982,537,85,0.1583
35360455,327,75,0.2294
35190784,329,60,0.1824
35204006,805,45,0.0559
35070180,466,55,0.118
35180369,489,60,0.1227
35140122,551,75,0.1361
35420296,495,90,0.1818
35431006,413,50,0.1211
35230411,491,65,0.1324
35240700,587,165,0.2811
35390263,362,60,0.1657
35490177,680,135,0.1985
35370729,617,85,0.1378
35204608,875,85,0.0971
35370685,444,60,0.1351
35061561,899,240,0.267
35190200,459,55,0.1198
35120098,519,85,0.1638
35100273,492,65,0.1321
35190406,444,50,0.1126
35060866,1182,290,0.2453
35180243,528,85,0.161
35370576,551,55,0.0998
35300882,1071,205,0.1914
35400202,468,90,0.1923
35260155,499,95,0.1904
35210270,381,55,0.1444
35470240,590,80,0.1356
35360467,243,40,0.1646
35580200,431,65,0.1508
35200338,464,45,0.097
35061295,424,45,0.1061
35200998,422,45,0.1066
35060476,587,45,0.0767
35204342,507,70,0.1381
35300145,649,80,0.1233
35240222,349,45,0.1289
35560323,554,70,0.1264
35250580,355,100,0.2817
35300543,362,55,0.1519
35490162,370,45,0.1216
35390705,754,130,0.1724
35320259,482,85,0.1763
35370181,411,45,0.1095
35560317,559,105,0.1878
35180739,827,120,0.1451
35190595,552,105,0.1902
35210050,299,60,0.2007
35570350,362,25,0.0691
35260701,733,115,0.1569
35202802,501,75,0.1497
35181171,1013,270,0.2665
35310152,423,60,0.1418
35420219,616,85,0.138
35290158,498,75,0.1506
35370744,773,130,0.1682
35260608,750,160,0.2133
35530105,752,100,0.133
35190055,524,80,0.1527
35202884,487,100,0.2053
35120289,573,95,0.1658
35181051,1430,245,0.1713
35201839,459,75,0.1634
35202388,1155,230,0.1991
35202020,401,70,0.1746
35400195,387,65,0.168
35210565,1022,215,0.2104
35580124,510,55,0.1078
35580351,430,35,0.0814
35420206,496,70,0.1411
35150054,411,70,0.1703
35010279,367,40,0.109
35200522,567,100,0.1764
35120243,654,125,0.1911
35202586,521,60,0.1152
35240521,652,115,0.1764
35430589,475,90,0.1895
35260280,562,60,0.1068
35380196,458,20,0.0437
35460081,891,115,0.1291
35211174,967,180,0.1861
35390736,899,235,0.2614
35180853,400,60,0.15
35060786,272,40,0.1471
35204371,3688,910,0.2467
35400200,509,165,0.3242
35211056,625,120,0.192
35370876,208,40,0.1923
35340206,604,95,0.1573
35370398,1018,190,0.1866
35230353,569,80,0.1406
35210835,439,65,0.1481
35431064,486,75,0.1543
35530353,1140,285,0.25
35210011,413,65,0.1574
35260469,354,45,0.1271
35390330,368,30,0.0815
